compound_id,HC,row_id,observation_id,canonical,status,example
CX-86095674106ea9645dc303f564019f79097466de44ab0964544704f9eaf218b6,HC-531184aadd5ff6a7c11ef62f,HR-02a392cf44e5f57b4d30499e,AID2060539:v1:physical-45,COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,same_public_measurement_not_replicate,12
CX-86095674106ea9645dc303f564019f79097466de44ab0964544704f9eaf218b6,HC-531184aadd5ff6a7c11ef62f,HR-9b2c534ad5aac0ce434f3666,AID2060539:v1:physical-46,COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,same_public_measurement_not_replicate,12
CX-258e49021abac1e9f1ad4e1beb7ac64e58f875df465959bff367489bc2e46e14,HC-4f081b6936afd38a189ea800,HR-b6402a0ac60f883b03c3c126,AID2060539:v1:physical-88,CCOc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,same_public_measurement_not_replicate,23
CX-258e49021abac1e9f1ad4e1beb7ac64e58f875df465959bff367489bc2e46e14,HC-4f081b6936afd38a189ea800,HR-ce79aa2e76376f9bec23f4b1,AID2060539:v1:physical-89,CCOc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,same_public_measurement_not_replicate,23
CX-50e2000b801202c9f9a60dcb886334d463b73d0136959fec38cd22a23baacb33,HC-f62b975cee248388caed4d95,HR-8f1480790358da2c598387b2,AID2060539:v1:physical-152,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,same_public_measurement_not_replicate,39
CX-50e2000b801202c9f9a60dcb886334d463b73d0136959fec38cd22a23baacb33,HC-f62b975cee248388caed4d95,HR-2aa715a034198601570553a6,AID2060539:v1:physical-153,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,same_public_measurement_not_replicate,39
CX-afb355daba5741fcc5a22644cc0bf7d3be4fb06eea779cd7e1660d4d1fd44d38,HC-5126418e5255ba63322fe094,HR-e4bab2cbbd75faba012ac366,AID2060539:v1:physical-160,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,same_public_measurement_not_replicate,41
CX-afb355daba5741fcc5a22644cc0bf7d3be4fb06eea779cd7e1660d4d1fd44d38,HC-5126418e5255ba63322fe094,HR-882bc295ea8818594e29fd4d,AID2060539:v1:physical-161,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,same_public_measurement_not_replicate,41
CX-7f9c703edb36bed8d557609545cbc964813d538c0c5b5430c56454a960a41bcc,HC-f09d8bf1beda158f1bd5b8f5,HR-20c9ded2a3615b331a0ec048,AID2060539:v1:physical-219,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)(F)F)ncc2C12CC2,same_public_measurement_not_replicate,56
CX-7f9c703edb36bed8d557609545cbc964813d538c0c5b5430c56454a960a41bcc,HC-f09d8bf1beda158f1bd5b8f5,HR-984eee2f1c0d34843affb010,AID2060539:v1:physical-220,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)(F)F)ncc2C12CC2,same_public_measurement_not_replicate,56
