assay_family_id,compound_id,leakage_group_id,pIC50,partition,relation,row_id,series_id,smiles,study_id,target,canonical,connectivity,curation_status,bound_pIC50,primary_numeric,validation_group
CTX-CDK2,HC-5a536d0bca07fe58c59070f2,HG-76ccd978b3c11b67a84c62e9,7.7447274948966935,train,=,HR-9aaf40f6dc6ce4db1803e4f8,HS-f5022d4f3db45055cf7cf61d,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,STUDY-001,CDK2,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,exact_training,,,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1
CTX-CDK1,HC-5a536d0bca07fe58c59070f2,HG-76ccd978b3c11b67a84c62e9,5.91721462968355,train,=,HR-39969b5d2c149e763efa907f,HS-f5022d4f3db45055cf7cf61d,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,STUDY-001,CDK1,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,exact_training,,,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1
CTX-CDK2,HC-7350858643b60d93c162c48a,HG-3a17fda3f7b538b641ee4275,8.154901959985743,train,=,HR-e3a9f0d25bc504e5bc83e2ae,HS-f5022d4f3db45055cf7cf61d,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,STUDY-001,CDK2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,exact_training,,,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2
CTX-CDK1,HC-7350858643b60d93c162c48a,HG-3a17fda3f7b538b641ee4275,6.086186147616283,train,=,HR-04130bb75699242aafdd88ba,HS-f5022d4f3db45055cf7cf61d,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,STUDY-001,CDK1,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,exact_training,,,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2
CTX-CDK2,HC-ec05550a33416d4af1b10b04,HG-fcf51e9a916bac9834cdccb4,7.017728766960431,train,=,HR-f175cc9b9c69e240fbca4caa,HS-f5022d4f3db45055cf7cf61d,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,STUDY-001,CDK2,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,exact_training,,,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1
CTX-CDK2,HC-b0fdf8a04d482f4f42f4b3bd,HG-24338566bf270543925d6472,5.950781977329818,train,=,HR-4e67e1c7c2382bce05a6ea68,HS-f5022d4f3db45055cf7cf61d,Cc1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]n1,STUDY-001,CDK2,Cc1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]n1,Cc1cc(Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)[nH]n1,exact_training,,,Cc1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]n1
CTX-CDK2,HC-c707580e4311a12b44cabf6a,HG-1e80aaad1ecc63af372ec660,7.494850021680094,train,=,HR-d78fe9a85ab0bc98577cbd1f,HS-f5022d4f3db45055cf7cf61d,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,STUDY-001,CDK2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,exact_training,,,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2
CTX-CDK1,HC-c707580e4311a12b44cabf6a,HG-1e80aaad1ecc63af372ec660,5.531652669587842,train,=,HR-d29b2f3ad485c785e16a4672,HS-f5022d4f3db45055cf7cf61d,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,STUDY-001,CDK1,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,exact_training,,,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2
CTX-CDK2,HC-40678296401d85a1b541c8cd,HG-397586a90a3a281ceba3e695,6.5718652059712115,train,=,HR-0020a835dca8b7833efb7a4f,HS-f5022d4f3db45055cf7cf61d,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3cnn4c3CNCC4)ncc2C12CC2,STUDY-001,CDK2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3cnn4c3CNCC4)ncc2C12CC2,O=C1N(C2CCCC(O)C2)c2nc(Nc3cnn4c3CNCC4)ncc2C12CC2,exact_training,,,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3cnn4c3CNCC4)ncc2C12CC2
CTX-CDK2,HC-046be35402a0ebbfeae4a2a0,HG-13453355d963e5e88773b9cc,5.8683813356508745,train,=,HR-6047e07d3930d56134c5a87a,HS-f5022d4f3db45055cf7cf61d,COCc1ncc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]1,STUDY-001,CDK2,COCc1ncc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]1,COCc1ncc(Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)[nH]1,exact_training,,,COCc1ncc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]1
