canonical,CDK1,CDK2,compound_id,connectivity,validation_group,partition,delta_p,delta_lower_bound,ratio,ratio_lower_bound
CC#Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,5.450996737974212,7.795880017344075,HC-ef4a78258d4af256028e632a,CC#Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,CC#Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,2.3448832793698626,,221.2499999999998,
CC(=O)N1CC2(CC(COc3n[nH]cc3Nc3ncc4c(n3)N([C@@H]3CCC[C@@H](O)C3)C(=O)C43CC3)C2)C1,,6.730487055782084,HC-eb8b9e03abf2ca9d02026aff,CC(=O)N1CC2(CC(COc3n[nH]cc3Nc3ncc4c(n3)N(C3CCCC(O)C3)C(=O)C43CC3)C2)C1,CC(=O)N1CC2(CC(COc3n[nH]cc3Nc3ncc4c(n3)N([C@@H]3CCC[C@@H](O)C3)C(=O)C43CC3)C2)C1,train,,1.730487055782084,,53.763440860215084
CCOc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,5.614393726401688,7.823908740944319,HC-4f081b6936afd38a189ea800,CCOc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,CCOc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,2.2095150145426308,,161.99999999999994,
CN1C[C@@H](F)[C@H](Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,,6.903089986991944,HC-dd08ed6610f74ef444967503,CN1CC(F)C(Oc2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)C1,CN1C[C@@H](F)[C@H](Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,train,,1.9030899869919438,,80.00000000000003
CN1C[C@H](Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[C@@H](F)C1,,6.924453038607469,HC-f0fb35cb2dd27e28368bc0c6,CN1CC(F)C(Oc2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)C1,CN1C[C@@H](F)[C@H](Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,train,,1.924453038607469,,84.0336134453781
COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,,7.017728766960431,HC-ec05550a33416d4af1b10b04,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,,2.017728766960431,,104.16666666666656
COCC(F)(F)COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,5.7423214251308154,7.823908740944319,HC-94c06e78f7a2ec72f42e67ba,COCC(F)(F)COc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,COCC(F)(F)COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,2.081587315813503,,120.66666666666664,
COCCn1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,5.627087997029894,7.309803919971486,HC-93e9a06fe6c2c6fa40306e6e,COCCn1cc(Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)cn1,COCCn1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,train,1.6827159229415924,,48.1632653061224,
COCc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,5.6020599913279625,7.769551078621726,HC-4f5cb5bc55d1e5e13b24d99e,COCc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,COCc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,2.1674910872937634,,147.05882352941165,
COCc1ncc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]1,,5.8683813356508745,HC-046be35402a0ebbfeae4a2a0,COCc1ncc(Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)[nH]1,COCc1ncc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]1,train,,0.8683813356508745,,7.385524372230429
