row_id,status,endpoint,value_nm,relation_nm,p_activity,p_relation,chemical_group,assay_group,reason,chemical_id,assay_id,source_activity_id,canonical_smiles
ACT-0001,eligible,IC50,52.2,=,7.282329496997738,=,CHEM-e31f067ccb4627d8,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL3301610,CHEMBL5736732,28327037,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1
ACT-0002,eligible,IC50,35.0,=,7.455931955649724,=,CHEM-d6424bbb4fdfd4fc,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL5905735,CHEMBL5736732,28327046,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(C)C)C5)ncc3F)cc2n1C(C)C
ACT-0003,eligible,IC50,29.6,=,7.528708288941061,=,CHEM-b0fba725182ebc2a,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL5814867,CHEMBL5736732,28327055,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1
ACT-0004,eligible,IC50,33.7,=,7.4723700991286615,=,CHEM-c92710e3d6eeb360,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL4212532,CHEMBL5736732,28327064,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C
ACT-0005,eligible,IC50,28.7,=,7.542118103266008,=,CHEM-47d89c52ed10945d,CHEMBL5736732|IC50,source-verified exact IC50 in declared historical assay; not current engagement,CHEMBL6060984,CHEMBL5736732,28327073,COCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1
ACT-0006,eligible,IC50,15.5,=,7.809668301829708,=,CHEM-17548d87f54e504b,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL5813772,CHEMBL5736732,28327082,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C)C5)ncc3F)cc2n1C(C)C
ACT-0007,eligible,IC50,13.4,=,7.872895201635192,=,CHEM-59d9ae3e54c4f6a7,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL5844694,CHEMBL5736732,28327091,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCO)C5)ncc3F)cc2n1C(C)C
ACT-0008,eligible,IC50,10.4,=,7.982966660701219,=,CHEM-760d5694ed64ea1a,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL6017199,CHEMBL5736732,28327100,COC(=O)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1
ACT-0009,eligible,IC50,60.4,=,7.218963061378869,=,CHEM-dce53658f66755b7,CHEMBL5736732|IC50,"source-verified exact IC50 in declared historical assay; not current engagement; potential_duplicate flag retained, not proof of reingestion",CHEMBL5805137,CHEMBL5736732,28327109,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(F)(F)F)C5)ncc3F)cc2n1C(C)C
ACT-0010,eligible,IC50,1090.0,=,5.962573502059376,=,CHEM-1ab74683a6383b32,CHEMBL5736732|IC50,source-verified exact IC50 in declared historical assay; not current engagement,CHEMBL5952864,CHEMBL5736732,28327127,Cc1nc2c(F)cc(-c3nc(Nc4ncc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C
