row_id,split,fold,chemical_group,scaffold,observed_pIC50,predicted_pIC50,training_median_pIC50,nearest_train_Tanimoto
ACT-0007,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCO)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,7.872895201635192,7.605292519986153,7.4179366370882915,0.8933333333333333
ACT-0010,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ncc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ncc3c(n2)CCNC3)n1,5.962573502059376,7.4754779978737265,7.4179366370882915,0.8441558441558441
ACT-0017,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C(C)N(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,7.2373214362725635,7.525381397887953,7.4179366370882915,1.0
ACT-0022,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN4CCOCC4)C5)ncc3F)cc2n1C1CC1,O=C(CN1CCOCC1)N1CCc2nc(Nc3nccc(-c4ccc5ncn(C6CC6)c5c4)n3)ccc2C1,6.8124792791635365,6.568397482527513,7.4179366370882915,0.8023255813953488
ACT-0025,chemical_group,1,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CCC(C)CC6)c5c4)n3)ccc2C1,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,7.047207556955907,6.945461309006329,7.4179366370882915,0.9
ACT-0027,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCCC1,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,6.55129368009492,6.590334947172731,7.4179366370882915,0.9615384615384616
ACT-0038,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,7.040958607678906,6.353934252662579,7.4179366370882915,1.0
ACT-0039,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCO)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,7.549750891680639,7.5238946304096554,7.4179366370882915,0.8641975308641975
ACT-0050,chemical_group,1,CN[C@H](C)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CC6)c5c4)n3)ccc2C1,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,6.17979854051436,6.482489874111747,7.4179366370882915,0.8395061728395061
ACT-0052,chemical_group,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,7.260427655549908,7.485802527722049,7.4179366370882915,0.9324324324324325
