request_id,compound_id,source_id,valid_smiles,canonical_match_rows,nearest_training_row,nearest_Tanimoto,endpoint_scope
STOCK-01,CED-01,CHEMBL5988596,True,,ACT-0120,0.84,historical IC50 only; not cellular engagement
STOCK-02,CED-02,CHEMBL5867735,True,,ACT-0047,0.7073170731707317,historical IC50 only; not cellular engagement
STOCK-03,CED-03,CHEMBL5781074,True,,ACT-0014,0.9696969696969697,historical IC50 only; not cellular engagement
STOCK-04,CED-04,CHEMBL5759958,True,,ACT-0027,0.987012987012987,historical IC50 only; not cellular engagement
STOCK-05,CED-05,CHEMBL5942702,True,,ACT-0126,0.8243243243243243,historical IC50 only; not cellular engagement
STOCK-06,CED-06,CHEMBL5774696,True,,ACT-0061,0.8701298701298701,historical IC50 only; not cellular engagement
STOCK-07,CED-07,CHEMBL5873158,True,,ACT-0095,0.8059701492537313,historical IC50 only; not cellular engagement
STOCK-08,CED-08,CHEMBL5853767,True,,ACT-0069,0.7209302325581395,historical IC50 only; not cellular engagement
STOCK-09,CED-09,CHEMBL5848732,True,,ACT-0122,0.8181818181818182,historical IC50 only; not cellular engagement
STOCK-10,CED-10,CHEMBL5757792,True,,ACT-0045,0.8095238095238095,historical IC50 only; not cellular engagement
STOCK-11,CED-11,CHEMBL5976713,True,,ACT-0099,0.810126582278481,historical IC50 only; not cellular engagement
STOCK-12,CED-12,CHEMBL4453095,True,,ACT-0042,0.9466666666666667,historical IC50 only; not cellular engagement
STOCK-13,CED-13,CHEMBL5903034,True,,ACT-0047,0.8481012658227848,historical IC50 only; not cellular engagement
STOCK-14,CED-14,CHEMBL6020742,True,,ACT-0013,0.8205128205128205,historical IC50 only; not cellular engagement
STOCK-15,CED-15,CHEMBL5775801,True,,ACT-0014,0.9848484848484849,historical IC50 only; not cellular engagement
STOCK-16,CED-16,CHEMBL4213756,True,,ACT-0126,0.8513513513513513,historical IC50 only; not cellular engagement
STOCK-17,CED-17,CHEMBL4455210,True,ACT-0042,ACT-0042,1.0,historical IC50 only; not cellular engagement
STOCK-18,CED-18,CHEMBL4207796,True,ACT-0126,ACT-0126,1.0,historical IC50 only; not cellular engagement
STOCK-19,CED-19,CHEMBL5956369,True,ACT-0014,ACT-0014,1.0,historical IC50 only; not cellular engagement
STOCK-20,CED-20,CHEMBL6021833,True,ACT-0020,ACT-0020,1.0,historical IC50 only; not cellular engagement
STOCK-21,CED-21,CHEMBL5870326,True,ACT-0033,ACT-0033,1.0,historical IC50 only; not cellular engagement
STOCK-22,CED-22,CHEMBL4466497,True,ACT-0052,ACT-0052,1.0,historical IC50 only; not cellular engagement
STOCK-23,CED-23,OPENFF:lig_1h1q,True,,ACT-0078,0.1919191919191919,historical IC50 only; not cellular engagement
STOCK-24,CED-24,OPENFF:lig_1oiu,True,,ACT-0027,0.2,historical IC50 only; not cellular engagement
STOCK-25,CED-01,CHEMBL5988596,True,,ACT-0120,0.84,historical IC50 only; not cellular engagement
STOCK-26,CED-02,CHEMBL5867735,True,,ACT-0047,0.7073170731707317,historical IC50 only; not cellular engagement
STOCK-27,CED-INVALID,SIM-INVALID,False,,,,historical IC50 only; not cellular engagement
STOCK-28,CED-03,CHEMBL5781074,True,,ACT-0027,0.987012987012987,historical IC50 only; not cellular engagement
