export,source_index_zero_based,export_index_zero_based,source_atom_name,element,distance_A
reference,0,23,C2,C,0.0
reference,1,22,C8,C,0.0
reference,2,21,C10,C,0.0
reference,3,20,C11,C,0.0
reference,4,19,C12,C,0.0
reference,5,18,C13,C,0.0
reference,6,17,C14,C,0.0
reference,7,16,C15,C,0.0
reference,8,15,C16,C,0.0
reference,9,14,C19,C,0.0
reference,10,13,C20,C,0.0
reference,11,12,C21,C,0.0
reference,12,11,C22,C,0.0
reference,13,10,N1,N,0.0
reference,14,9,C6,C,0.0
reference,15,8,O6,O,0.0
reference,16,7,C5,C,0.0
reference,17,6,N7,N,0.0
reference,18,5,N9,N,0.0
reference,19,4,C4,C,0.0
reference,20,3,N3,N,0.0
reference,21,2,N2,N,0.0
reference,22,1,C17,C,0.0
reference,23,0,C18,C,0.0
priority,0,23,C2,C,8.774964387392123
priority,1,22,C8,C,8.774964387392123
priority,2,21,C10,C,8.774964387392123
priority,3,20,C11,C,8.77496438739212
priority,4,19,C12,C,8.774964387392123
priority,5,18,C13,C,8.77496438739212
priority,6,17,C14,C,8.774964387392123
priority,7,16,C15,C,8.774964387392123
priority,8,15,C16,C,8.774964387392123
priority,9,14,C19,C,8.774964387392123
priority,10,13,C20,C,8.77496438739212
priority,11,12,C21,C,8.774964387392123
priority,12,11,C22,C,8.774964387392123
priority,13,10,N1,N,8.77496438739212
priority,14,9,C6,C,8.774964387392123
priority,15,8,O6,O,8.774964387392123
priority,16,7,C5,C,8.77496438739212
priority,17,6,N7,N,8.774964387392123
priority,18,5,N9,N,8.774964387392123
priority,19,4,C4,C,8.77496438739212
priority,20,3,N3,N,8.774964387392123
priority,21,2,N2,N,8.774964387392123
priority,22,1,C17,C,8.774964387392123
priority,23,0,C18,C,8.774964387392123
