request_id,compound_id,source_id,smiles,vial_id,mass_mg,purity_pct,delivery_days,handling_usd,stock_origin,canonical_smiles,identity_status,identity_reason
STOCK-01,CED-01,CHEMBL5988596,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N(C)C)C5)ncc3F)cc2n1C(C)(C)C,VIAL-01,1.0,97,1,200,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N(C)C)C5)ncc3F)cc2n1C(C)(C)C,valid,valid distinct vial and chemical graph
STOCK-02,CED-02,CHEMBL5867735,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CN(CCN(C)C)C5=O)ncc3F)cc2n1C(C)C,VIAL-02,1.3,97,2,250,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CN(CCN(C)C)C5=O)ncc3F)cc2n1C(C)C,valid,valid distinct vial and chemical graph
STOCK-03,CED-03,CHEMBL5781074,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCC1,VIAL-03,1.6,97,0,300,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCC1,valid,valid distinct vial and chemical graph
STOCK-04,CED-04,CHEMBL5759958,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCC1,VIAL-04,1.9,97,10,150,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCC1,valid,valid distinct vial and chemical graph
STOCK-05,CED-05,CHEMBL5942702,C#CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,VIAL-05,0.7,72,2,200,simulated_stock_for_real_chemical,C#CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,valid,valid distinct vial and chemical graph
STOCK-06,CED-06,CHEMBL5774696,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H](C)N)C5)ncc3F)cc2n1C1CC1,VIAL-06,1.0,97,0,250,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H](C)N)C5)ncc3F)cc2n1C1CC1,valid,valid distinct vial and chemical graph
STOCK-07,CED-07,CHEMBL5873158,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)(C)C,VIAL-07,1.3,97,1,300,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)(C)C,valid,valid distinct vial and chemical graph
STOCK-08,CED-08,CHEMBL5853767,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,VIAL-08,1.6,97,2,150,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,valid,valid distinct vial and chemical graph
STOCK-09,CED-09,CHEMBL5848732,Cc1nc2c(F)cc(-c3nc(Nc4ncc5c(n4)CCNC5)ncc3F)cc2n1C(C)C,VIAL-09,1.9,97,0,200,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ncc5c(n4)CCNC5)ncc3F)cc2n1C(C)C,valid,valid distinct vial and chemical graph
STOCK-10,CED-10,CHEMBL5757792,C=C(CCN(C)C)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CC6)c5c4)n3)ccc2C1,VIAL-10,0.7,97,1,250,simulated_stock_for_real_chemical,C=C(CCN(C)C)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CC6)c5c4)n3)ccc2C1,valid,valid distinct vial and chemical graph
STOCK-11,CED-11,CHEMBL5976713,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC[N+](C)(C)[O-])C5)ncc3F)cc2n1C1CC1,VIAL-11,1.0,97,2,300,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC[N+](C)(C)[O-])C5)ncc3F)cc2n1C1CC1,valid,valid distinct vial and chemical graph
STOCK-12,CED-12,CHEMBL4453095,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1[C@H]1CC[C@H](C)CC1,VIAL-12,1.3,97,10,150,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1[C@H]1CC[C@H](C)CC1,valid,valid distinct vial and chemical graph
STOCK-13,CED-13,CHEMBL5903034,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CB(O)O)C5)ncc3F)cc2n1C(C)C,VIAL-13,1.6,97,1,200,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CB(O)O)C5)ncc3F)cc2n1C(C)C,valid,valid distinct vial and chemical graph
STOCK-14,CED-14,CHEMBL6020742,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(N)=NO)C5)ncc3F)cc2n1C(C)C,VIAL-14,1.9,97,2,250,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(N)=NO)C5)ncc3F)cc2n1C(C)C,valid,valid distinct vial and chemical graph
STOCK-15,CED-15,CHEMBL5775801,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCCCC1,VIAL-15,0.7,97,0,300,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCCCC1,valid,valid distinct vial and chemical graph
STOCK-16,CED-16,CHEMBL4213756,COCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,VIAL-16,1.0,97,1,150,simulated_stock_for_real_chemical,COCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,valid,valid distinct vial and chemical graph
STOCK-17,CED-17,CHEMBL4455210,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CC1,VIAL-17,1.3,97,2,200,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CC1,valid,valid distinct vial and chemical graph
