row_id,chemical_id,smiles,assay_id,endpoint,relation,value,unit,source_activity_id,source_document,source_year,pchembl_export,potential_duplicate,data_validity,record_origin
ACT-0001,CHEMBL3301610,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CHEMBL5736732,IC50,=,52.2,nM,28327037,CHEMBL5728430,2021,7.28,1,,public_measurement_reformatted
ACT-0002,CHEMBL5905735,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,35,nM,28327046,CHEMBL5728430,2021,7.46,1,,public_measurement_reformatted
ACT-0003,CHEMBL5814867,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,29.6,nM,28327055,CHEMBL5728430,2021,7.53,1,,public_measurement_reformatted
ACT-0004,CHEMBL4212532,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,33.7,nM,28327064,CHEMBL5728430,2021,7.47,1,,public_measurement_reformatted
ACT-0005,CHEMBL6060984,COCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,28.7,nM,28327073,CHEMBL5728430,2021,7.54,0,,public_measurement_reformatted
ACT-0006,CHEMBL5813772,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,15.5,nM,28327082,CHEMBL5728430,2021,7.81,1,,public_measurement_reformatted
ACT-0007,CHEMBL5844694,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCO)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,0.0134,uM,28327091,CHEMBL5728430,2021,7.87,1,,public_measurement_reformatted
ACT-0008,CHEMBL6017199,COC(=O)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,10.4,nM,28327100,CHEMBL5728430,2021,7.98,1,,public_measurement_reformatted
ACT-0009,CHEMBL5805137,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(F)(F)F)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,60.4,nM,28327109,CHEMBL5728430,2021,7.22,1,,public_measurement_reformatted
ACT-0010,CHEMBL5952864,Cc1nc2c(F)cc(-c3nc(Nc4ncc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,1090,nM,28327127,CHEMBL5728430,2021,5.96,0,,public_measurement_reformatted
ACT-0011,CHEMBL5894084,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,37.2,nM,28327145,CHEMBL5728430,2021,7.43,0,,public_measurement_reformatted
