compound_id,kinetic_solubility_uM,microsomal_t_half_min,cell_target_engagement_ic50_nM,cdk1_cyclinB_ic50_nM,engagement_assay,cdk1_assay,origin
CED-01,8,14,65,90,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-02,18,22,130,400,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-03,35,38,,,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-04,70,55,850,6000,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-05,120,8,35,45,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-06,3,14,65,90,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-07,8,22,130,400,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-08,18,38,,1800,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-09,35,55,850,,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-10,70,8,35,45,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-11,120,14,,90,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-12,3,22,130,400,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-13,8,38,320,1800,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-14,18,55,850,,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-15,35,8,35,45,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-16,70,14,,90,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-17,120,22,130,400,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-18,3,38,320,1800,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-19,8,55,850,6000,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-20,18,8,35,45,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-21,35,14,65,90,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-22,70,22,130,400,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-23,120,38,,,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
CED-24,3,55,,,SIM-TE-01,SIM-CDK1-01,simulated_program_measurement
