row_id,molecular_weight,logp,heavy_atoms,vendor_activity_index
ACT-0001,506.6050000000003,4.936920000000004,37,7.28144
ACT-0002,477.5630000000002,5.565920000000005,35,7.473042
ACT-0003,506.56100000000026,3.903520000000003,37,7.530408
ACT-0004,520.5880000000003,4.245720000000003,38,7.495936
ACT-0005,507.5450000000003,4.3305200000000035,37,7.530305
ACT-0006,449.5090000000002,4.787320000000003,33,7.801024
ACT-0007,507.5450000000003,4.066520000000002,37,7.887468
ACT-0008,521.5280000000002,3.8571200000000028,38,7.994115
ACT-0009,517.5060000000002,5.719820000000004,37,7.225726
ACT-0010,521.5760000000002,3.6407200000000017,38,5.954698
ACT-0011,492.5340000000003,3.6428200000000013,36,7.433355
ACT-0012,507.5450000000003,4.3305200000000035,37,7.427002
ACT-0013,493.51800000000026,4.2421200000000026,36,8.144726
ACT-0014,461.52000000000027,4.979320000000003,34,6.897806
ACT-0015,575.6680000000002,3.9315200000000026,42,7.816739
ACT-0016,562.6250000000003,4.016320000000003,41,7.520704
ACT-0017,534.6150000000002,4.634220000000004,39,7.233193
ACT-0018,535.5990000000003,4.845120000000004,39,7.432136
ACT-0019,548.6420000000003,5.024320000000005,40,6.806428
ACT-0020,433.4660000000002,4.199120000000002,32,6.821387
ACT-0021,518.5720000000002,3.9997200000000026,38,6.521153
ACT-0022,560.6090000000003,3.7703200000000026,41,6.818583
ACT-0023,533.5830000000002,4.455020000000004,39,7.667882
ACT-0024,489.5740000000003,5.615420000000004,36,7.190754
ACT-0025,560.6530000000002,5.073820000000005,41,7.03654
ACT-0026,574.6800000000001,5.416020000000005,42,7.063337
ACT-0027,560.653,5.1700200000000045,41,6.545228
ACT-0028,518.5720000000002,3.9997200000000026,38,6.37993
ACT-0029,489.53000000000026,4.870120000000004,36,7.478783
ACT-0030,532.5990000000003,4.421420000000003,39,7.377989
ACT-0031,485.48900000000026,5.324820000000003,35,5.455182
ACT-0032,546.6260000000001,4.682120000000004,40,7.075184
ACT-0033,547.6140000000001,4.182720000000003,40,6.896024
ACT-0034,549.6300000000002,4.428720000000004,40,7.241426
ACT-0035,475.54700000000025,5.319920000000004,35,6.146056
ACT-0036,548.5980000000002,4.609720000000004,40,6.471628
ACT-0037,532.5990000000002,4.388220000000003,39,6.246978
ACT-0038,532.5990000000002,4.388220000000003,39,7.067102
ACT-0039,522.5600000000003,3.859420000000002,38,7.54464
ACT-0040,520.5440000000002,3.6134200000000014,38,6.469981
ACT-0041,518.5720000000002,4.047620000000003,38,6.86529
ACT-0042,504.58900000000034,4.473120000000003,37,6.184202
ACT-0043,532.5990000000002,4.389820000000004,39,6.525423
ACT-0044,532.5990000000002,4.0748200000000026,39,7.093976
ACT-0045,561.6410000000002,4.524920000000004,41,6.435301
ACT-0046,534.6150000000002,4.634220000000004,39,7.558279
ACT-0047,506.6050000000003,4.719120000000004,37,7.319015
ACT-0048,516.5810000000002,3.566220000000002,38,5.97778
ACT-0049,530.5830000000002,4.190120000000003,39,5.464721
ACT-0050,518.5720000000002,4.046020000000002,38,6.174353
ACT-0051,530.5830000000002,4.190120000000003,39,6.669367
ACT-0052,520.6320000000003,4.893220000000005,38,7.253369
ACT-0053,518.6160000000003,4.8632200000000045,38,5.791839
ACT-0054,530.6270000000002,4.722520000000004,39,6.761138
ACT-0055,542.6380000000001,4.865020000000004,40,6.98113
ACT-0056,534.6150000000001,3.8340200000000024,39,6.416338
ACT-0057,530.6270000000002,5.005720000000005,39,6.503788
ACT-0058,556.6650000000002,5.255120000000005,41,7.116377
ACT-0059,504.58900000000034,4.648820000000003,37,6.245661
ACT-0060,530.6270000000003,4.722520000000004,39,7.439983
ACT-0061,518.6160000000002,4.861620000000004,38,6.194033
ACT-0062,463.53600000000023,5.225320000000004,34,7.785101
ACT-0063,534.6590000000003,5.499320000000005,39,7.77471
ACT-0064,461.5200000000002,4.835220000000003,34,7.812263
ACT-0065,518.6160000000002,4.861620000000004,38,6.853537
ACT-0066,532.6430000000001,5.109220000000005,39,7.79531
ACT-0067,447.4930000000002,4.3732200000000025,33,7.990099
ACT-0068,518.6160000000003,4.647220000000004,38,7.758311
ACT-0069,535.7190000000003,6.495720000000006,38,7.183924
ACT-0070,534.6590000000003,5.283320000000005,39,7.552597
ACT-0071,534.6190000000003,3.9827900000000014,39,7.785201
ACT-0072,548.6420000000003,4.809920000000004,40,7.826174
ACT-0073,562.6690000000002,4.662220000000004,41,7.827019
ACT-0074,562.6690000000002,4.662220000000004,41,8.014612
ACT-0075,492.5340000000002,4.617520000000003,36,8.234269
ACT-0076,549.6300000000002,4.896920000000004,40,7.823901
ACT-0077,520.5920000000003,3.4309200000000013,38,6.168983
ACT-0078,546.6700000000002,5.643420000000006,40,7.711072
ACT-0079,534.6590000000002,5.454220000000006,39,7.630389
ACT-0080,534.6590000000002,5.454220000000006,39,7.495336
ACT-0081,534.6590000000002,5.454220000000006,39,7.097633
ACT-0082,568.6130000000002,5.627020000000005,40,6.888593
ACT-0083,463.5360000000002,5.0077200000000035,34,7.491746
ACT-0084,551.6710000000003,4.332920000000002,39,7.850397
ACT-0085,463.5360000000002,5.0077200000000035,34,7.953546
ACT-0086,534.6590000000002,5.281720000000005,39,7.382443
ACT-0087,565.6540000000002,4.736400000000004,40,7.595926
ACT-0088,518.6160000000003,4.548220000000004,38,6.62563
ACT-0089,532.5990000000002,4.388220000000003,39,6.349861
ACT-0090,530.6270000000002,5.005720000000005,39,7.535581
ACT-0091,520.5920000000003,3.4309200000000013,38,7.707758
ACT-0092,577.6880000000002,3.5723900000000013,42,7.121801
ACT-0093,592.8150000000003,6.427520000000007,42,7.583121
ACT-0094,602.7190000000002,5.119020000000004,43,6.854438
ACT-0095,407.4280000000001,3.4012200000000012,30,6.334194
ACT-0096,478.5510000000003,3.675220000000002,35,5.488276
ACT-0097,421.4550000000002,3.884120000000002,31,6.884857
ACT-0098,492.5780000000004,4.158120000000003,36,6.440552
ACT-0099,490.5620000000003,4.130920000000002,36,6.527227
ACT-0100,562.6690000000003,4.663820000000004,41,7.362249
ACT-0101,575.7120000000002,4.579020000000003,42,7.396505
ACT-0102,608.6780000000002,5.640120000000006,43,7.181279
ACT-0103,550.6580000000002,4.255720000000004,40,7.305636
ACT-0104,577.7280000000002,4.825020000000004,42,7.142637
ACT-0105,606.8420000000002,6.601620000000008,43,7.466378
ACT-0106,519.6040000000003,4.744290000000004,38,7.710397
ACT-0107,506.6050000000003,4.551020000000004,37,8.14516
ACT-0108,698.7559999999999,5.9920200000000055,49,7.17951
ACT-0109,614.6380000000001,4.441120000000004,43,7.5573
ACT-0110,670.7459999999999,6.529520000000007,47,7.22031
ACT-0111,521.5760000000002,4.078020000000002,38,7.556725
ACT-0112,549.6300000000002,4.896920000000004,40,7.381732
ACT-0113,492.5780000000003,4.290320000000003,36,7.674003
ACT-0114,504.58900000000034,4.305020000000003,37,7.666343
ACT-0115,628.665,6.270420000000006,44,6.933566
ACT-0116,534.6590000000002,5.281720000000005,39,7.32022
ACT-0117,602.4990000000001,3.9757200000000035,44,7.499186
ACT-0118,555.6550000000002,4.3762200000000036,39,7.899528
ACT-0119,492.5340000000002,4.617520000000003,36,7.856953
ACT-0120,520.6320000000003,5.068920000000004,38,7.720378
ACT-0121,604.5150000000002,4.270420000000004,44,7.751289
ACT-0122,435.48200000000014,4.445120000000003,32,7.758983
ACT-0123,493.51800000000026,3.676420000000002,36,7.881704
ACT-0124,477.51900000000023,4.704020000000003,35,7.495486
ACT-0125,479.53500000000025,4.149820000000003,35,7.728917
ACT-0126,481.52600000000024,5.1270200000000035,35,7.669331
ACT-0127,462.55600000000015,4.179900000000003,32,8.24974
ACT-0128,329.38100000000003,1.9997999999999996,23,6.275822
ACT-0129,442.23800000000006,3.5409000000000015,23,8.316703
ACT-0130,450.4800000000002,1.4273000000000002,32,8.059846
ACT-0131,316.34200000000004,1.1023,22,6.896915
ACT-0132,382.4010000000001,2.3941,27,8.610113
ACT-0133,449.5170000000001,3.8972000000000016,31,8.005809
ACT-0134,401.4730000000001,2.1137999999999995,27,8.224776
ACT-0135,344.3960000000001,1.6646999999999998,24,7.688575
ACT-0136,576.6970000000001,3.0181000000000013,39,9.008842
ACT-0137,375.3660000000001,1.3189199999999999,26,8.343728
ACT-0138,315.35400000000004,1.7391,22,6.151696
ACT-0139,350.7870000000001,1.7557,23,7.361243
ACT-0140,408.43900000000014,2.8946000000000014,29,7.875231
ACT-0141,467.51100000000025,1.1189000000000002,33,7.613548
ACT-0142,436.4930000000002,2.5931000000000006,31,7.908864
ACT-0143,399.4720000000001,2.9678999999999993,28,8.715525
ACT-0144,450.4800000000002,1.4272999999999998,32,8.680577
ACT-0145,395.238,1.8648,23,7.350692
ACT-0146,356.3670000000001,0.9785999999999999,25,7.8952
ACT-0147,500.58500000000015,4.074500000000002,35,8.023537
ACT-0148,386.4770000000001,1.9315999999999993,27,6.020148
ACT-0149,345.3800000000001,1.2314000000000003,24,7.282902
ACT-0150,330.3690000000001,1.4107199999999998,23,7.337327
ACT-0151,509.5440000000002,2.0494999999999997,36,8.789298
ACT-0152,434.47700000000015,2.9783000000000017,31,8.018159
ACT-0153,387.4210000000001,0.8041,27,7.772725
ACT-0154,400.4850000000001,2.9517000000000007,27,8.353323
ACT-0155,466.5480000000002,2.945500000000001,32,8.44448
ACT-0156,361.3390000000001,1.0105000000000002,25,5.610092
ACT-0157,366.4020000000001,2.2873,26,8.833715
ACT-0158,448.5290000000001,4.502200000000002,31,8.377292
ACT-0159,332.34100000000007,0.8079000000000001,23,7.992838
ACT-0160,396.4060000000001,0.34900000000000037,26,7.831863
ACT-0161,345.38000000000005,1.2313999999999998,24,7.235921
ACT-0162,386.4580000000001,2.6095000000000006,26,8.255736
ACT-0163,371.4430000000001,3.1049000000000007,25,8.250158
